	Unnamed: 0	key	question	options
0	0	PERSDISCR_W29	Have you ever personally experienced discrimination or been treated unfairly because of your gender, or not?	['Yes', 'No', 'Refused']
1	3	NOWSMK_NHIS_W29	Do you now smoke cigarettes	['Every day', 'Some days', 'Not at all', 'Refused']
2	4	BLOODPR_W29	Have you ever been told by a doctor or other health professional that you had hypertension, also called high blood pressure?	['Yes', 'No', 'Refused']
3	5	DIFF1A_W29	Do you think men and women are basically similar or basically different when it comes to their hobbies and personal interests?	['Men and women are basically similar', 'Men and women are basically different', 'Refused']
4	6	DIFF1B_W29	Do you think men and women are basically similar or basically different when it comes to their physical abilities?	['Men and women are basically similar', 'Men and women are basically different', 'Refused']
5	7	DIFF1C_W29	Do you think men and women are basically similar or basically different when it comes to their approach to parenting?	['Men and women are basically similar', 'Men and women are basically different', 'Refused']
6	8	DIFF1D_W29	Do you think men and women are basically similar or basically different when it comes to how they express their feelings?	['Men and women are basically similar', 'Men and women are basically different', 'Refused']
7	9	DIFF1E_W29	Do you think men and women are basically similar or basically different when it comes to the things they are good at in the workplace?	['Men and women are basically similar', 'Men and women are basically different', 'Refused']
8	10	MASC2_W29	Now thinking about how you see yourself, would you describe yourself as	['Very manly or masculine', 'Somewhat manly or masculine', 'Not too manly or masculine', 'Not at all manly or masculine', 'Refused']
9	11	FEM2_W29	Now thinking about how you see yourself, would you describe yourself as	['Very womanly or feminine', 'Somewhat womanly or feminine', 'Not too womanly or feminine', 'Not at all womanly or feminine', 'Refused']
10	12	MASC1F1_W29	Thinking about how society sees men these days, in general, would you say	['Most people look up to men who are manly or masculine', 'Most people look down on men who are manly or masculine', 'Neither', 'Refused']
11	13	MASC2AF1_W29	Do you think it's a good thing or a bad thing that most people in our society look up to men who are manly or masculine?	['Good thing', 'Bad thing', 'Refused']
12	14	MASC2BF1_W29	Do you think it's a good thing or a bad thing that most people in our society look down on men who are manly or masculine?	['Good thing', 'Bad thing', 'Refused']
13	15	FEM1F2_W29	Thinking about how society sees women these days, in general, would you say	['Most people look up to women who are womanly or feminine', 'Most people look down on women who are womanly or feminine', 'Neither', 'Refused']
14	16	FEM2AF2_W29	Do you think it's a good thing or a bad thing that most people in our society look up to women who are womanly or feminine?	['Good thing', 'Bad thing', 'Refused']
15	17	FEM2BF2_W29	Do you think it's a good thing or a bad thing that most people in our society look down on women who are womanly or feminine?	['Good thing', 'Bad thing', 'Refused']
16	18	GOODJOBS_W29	In general, thinking about job opportunities where you live, would you say that	['There are plenty of good jobs available', 'Good jobs are difficult to find', 'Refused']
