	Unnamed: 0	key	question	options
0	0	NEWS_PLATFORMg_W45	Thinking about news (by news we mean information about events and issues that involve more than just your friends and family), how often do you get news from a social media site (such as Facebook, Twitter, or Snapchat)	['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']
1	1	NEWS_PLATFORMh_W45	Thinking about news (by news we mean information about events and issues that involve more than just your friends and family), how often do you get news from a news website or app	['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']
2	2	NEWSPREFV2_W45	Which of the following would you say you prefer for getting news?	['A print newspaper', 'Radio', 'Television', 'A social media site (such as Facebook, Twitter or Snapchat)', 'A news website or app', 'Refused']
3	3	SOURCESKEPa_W45	How much do you trust the accuracy of the news and information that you get from your main news outlets	['A great deal', 'Some', 'Not much', 'Not at all', 'Refused']
4	4	SOURCESKEPb_W45	How much do you trust the accuracy of the news and information that you get from news outlets you don't come across often	['A great deal', 'Some', 'Not much', 'Not at all', 'Refused']
5	5	SOURCESKEPc_W45	How much do you trust the accuracy of the news and information that you get from political leaders and public officials	['A great deal', 'Some', 'Not much', 'Not at all', 'Refused']
6	6	SOURCESKEPd_W45	How much do you trust the accuracy of the news and information that you get from friends and family	['A great deal', 'Some', 'Not much', 'Not at all', 'Refused']
7	7	SOURCESKEPe_W45	How much do you trust the accuracy of the news and information that you get from Social media sites (such as Facebook, Twitter or Snapchat)	['A great deal', 'Some', 'Not much', 'Not at all', 'Refused']
8	8	INFOCONFUSEa_W45	How much do you think the following type of news and information leaves Americans confused about the basic facts of current issues and events? Made-up information that is intended to mislead the public	['A great deal', 'Some', 'Not much', 'Not at all', 'Refused']
9	9	INFOCONFUSEb_W45	How much do you think the following type of news and information leaves Americans confused about the basic facts of current issues and events? Satire about an issue or event	['A great deal', 'Some', 'Not much', 'Not at all', 'Refused']
10	10	INFOCONFUSEc_W45	How much do you think the following type of news and information leaves Americans confused about the basic facts of current issues and events? Breaking information that is published before everything is verified	['A great deal', 'Some', 'Not much', 'Not at all', 'Refused']
11	11	INFOCONFUSEd_W45	How much do you think the following type of news and information leaves Americans confused about the basic facts of current issues and events? Factual information presented to favor one side of an issue	['A great deal', 'Some', 'Not much', 'Not at all', 'Refused']
12	12	INFOCONFUSEe_W45	How much do you think the following type of news and information leaves Americans confused about the basic facts of current issues and events? A video or image that is altered or made up to mislead the public	['A great deal', 'Some', 'Not much', 'Not at all', 'Refused']
13	13	INFOKNOWa_W45	How do you feel about the average American's ability to recognize the following type of news and information? Made-up information that is intended to mislead the public	['The average American should be able to recognize it', 'It is too much to ask of the average American to be able to recognize it', 'Refused']
