	key	question	options
0	SATLIFEA_W32	Please tell us whether you are satisfied or dissatisfied with your family life.	['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']
1	SATLIFEB_W32	Please tell us whether you are satisfied or dissatisfied with your social life.	['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']
2	SATLIFEC_W32	Please tell us whether you are satisfied or dissatisfied with your personal financial situation.	['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']
3	SATLIFED_W32	Please tell us whether you are satisfied or dissatisfied with your current job or career.	['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']
4	SATLIFEE_W32	Please tell us whether you are satisfied or dissatisfied with the quality of life in your local community.	['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']
5	SOCTRUST_W32	Generally speaking, would you say that	"['Most people can be trusted', ""You can't be too careful in dealing with people"", 'Refused']"
6	SOCTRUST2_W32	Generally speaking, would you say that	['Most people can be trusted', 'Most people cannot be trusted', 'Refused']
7	SOCTRUST4_W32	Generally speaking, would you say you can trust most people	['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']
8	SOCTRUST5_W32	Generally speaking, would you say that	['Most people can be trusted to do the right thing', 'Most people cannot be trusted to do the right thing', 'Refused']
9	COMMYRS_W32	About how many years have you lived in your local community?	['Less than 1 year', '1-5 years', '6-10 years', '11-20 years', 'More than 20 years', 'Refused']
10	COMATTACH_W32	In general, how attached do you feel to your local community?	['Very attached', 'Somewhat attached', 'Not too attached', 'Not at all attached', 'Refused']
11	FEELA_W32	How often, if ever, do you feel lonely or isolated from those around you	['All or most of the time', 'Sometimes', 'Hardly ever', 'Never', 'Refused']
12	FEELB_W32	How often, if ever, do you feel you have people you can turn to for support	['All or most of the time', 'Sometimes', 'Hardly ever', 'Never', 'Refused']
13	FEELC_W32	How often, if ever, do you feel optimistic about your life	['All or most of the time', 'Sometimes', 'Hardly ever', 'Never', 'Refused']
14	FEELD_W32	How often, if ever, do you feel you are too busy to enjoy life	['All or most of the time', 'Sometimes', 'Hardly ever', 'Never', 'Refused']
15	INC_W32	Do you currently have enough income to lead the kind of life you want?	['Yes', 'No', 'Refused']
16	INCFUTURE_W32	Do you think you will have enough income in the future to lead the kind of life you want?	['Yes', 'No', 'Refused']
17	COMMIMPA_W32	How important is it to you, personally, to live in a community with access to art, music and theater	['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']
18	COMMIMPB_W32	How important is it to you, personally, to live in a community that is a good place to raise children	['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']
19	COMMIMPC_W32	How important is it to you, personally, to live in a community that is racially and ethnically diverse	['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']
20	COMMIMPD_W32	How important is it to you, personally, to live in a community where most people share your political views	['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']
21	COMMIMPE_W32	How important is it to you, personally, to live in a community with access to recreational and outdoor activities	['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']
22	COMMIMPF_W32	How important is it to you, personally, to live in a community where you have family nearby	['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']
23	COMMIMPG_W32	How important is it to you, personally, to live in a community with a strong sense of community	['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']
24	COMMIMPH_W32	How important is it to you, personally, to live in a community where most people share your religious views	['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']
25	FAMNEAR_W32	Thinking about members of your extended family who don't live with you, about how many of them live within an hour's drive of where you live now?	"['All or most', 'Some', 'Only a few', 'None', ""I don't have extended family"", 'Refused']"
26	SUCCESSIMPA_W32	How important, if at all, do you think a college education is in helping a young person succeed in the world today?	['Essential', 'Important but not essential', 'Not important', 'Refused']
27	SUCCESSIMPB_W32	How important, if at all, do you think knowing how to get along with people is in helping a young person succeed in the world today?	['Essential', 'Important but not essential', 'Not important', 'Refused']
