	key	question	options
0	FIN_SIT_W54	How would you describe your household's financial situation?	"['Live comfortably', 'Meet your basic expenses with a little left over for extras', 'Just meet your basic expenses', ""Don't even have enough to meet basic expenses"", 'Refused']"
1	FIN_SITFUT_W54	In the future, do you think your household will have enough money to live comfortably?	['Yes', 'No', 'Refused']
2	FIN_SITMOST_W54	How would you describe the financial situation of most Americans?	"['Live comfortably', 'Meet their basic expenses with a little left over for extras', 'Just meet their basic expenses', ""Don't even have enough to meet basic expenses"", 'Refused']"
3	FIN_SITCOMM_W54	How would you describe the financial situation of most people in the area where you live?	"['Live comfortably', 'Meet their basic expenses with a little left over for extras', 'Just meet their basic expenses', ""Don't even have enough to meet basic expenses"", 'Refused']"
4	FIN_SITGROWUP_W54	Now thinking about when you were growing up, how would you describe your family's financial situation for most of the time when you were growing up?	"['Lived comfortably', 'Met basic expenses with a little left over for extras', 'Just met basic expenses', ""Didn't even have enough to meet basic expenses"", 'Refused']"
5	JOBTRAIN_W54	Looking ahead, how important do you think it will be for you to get training and develop new skills throughout your work life in order to keep up with changes in the workplace?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
6	GOVPRIORITYa_W54	How much of a priority should the following be for the federal government to address: Making health care more affordable	['A top priority', 'Important, but lower priority', 'Not too important', 'Should not be done', 'Refused']
7	GOVPRIORITYb_W54	How much of a priority should the following be for the federal government to address: Reducing illegal immigration	['A top priority', 'Important, but lower priority', 'Not too important', 'Should not be done', 'Refused']
8	GOVPRIORITYc_W54	How much of a priority should the following be for the federal government to address: Reducing economic inequality	['A top priority', 'Important, but lower priority', 'Not too important', 'Should not be done', 'Refused']
9	GOVPRIORITYd_W54	How much of a priority should the following be for the federal government to address: Addressing climate change	['A top priority', 'Important, but lower priority', 'Not too important', 'Should not be done', 'Refused']
10	GOVPRIORITYe_W54	How much of a priority should the following be for the federal government to address: Dealing with terrorism	['A top priority', 'Important, but lower priority', 'Not too important', 'Should not be done', 'Refused']
11	GOVPRIORITYf_W54	How much of a priority should the following be for the federal government to address: Reducing gun violence	['A top priority', 'Important, but lower priority', 'Not too important', 'Should not be done', 'Refused']
12	GOVRESP_a_W54	Do you think an adequate standard of living is something the federal government has a responsibility to provide for all Americans?	['Yes, a responsibility of the federal government to provide for all Americans', 'No, not the responsibility of the federal government to provide', 'Refused']
13	GOVRESP_b_W54	Do you think adequate housing is something the federal government has a responsibility to provide for all Americans?	['Yes, a responsibility of the federal government to provide for all Americans', 'No, not the responsibility of the federal government to provide', 'Refused']
14	GOVRESP_c_W54	Do you think high quality K-12 education is something the federal government has a responsibility to provide for all Americans?	['Yes, a responsibility of the federal government to provide for all Americans', 'No, not the responsibility of the federal government to provide', 'Refused']
15	GOVRESP_d_W54	Do you think a college education is something the federal government has a responsibility to provide for all Americans?	['Yes, a responsibility of the federal government to provide for all Americans', 'No, not the responsibility of the federal government to provide', 'Refused']
16	GOVRESP_e_W54	Do you think adequate income in retirement is something the federal government has a responsibility to provide for all Americans?	['Yes, a responsibility of the federal government to provide for all Americans', 'No, not the responsibility of the federal government to provide', 'Refused']
17	GOVRESP_f_W54	Do you think adequate medical care is something the federal government has a responsibility to provide for all Americans?	['Yes, a responsibility of the federal government to provide for all Americans', 'No, not the responsibility of the federal government to provide', 'Refused']
18	GOVRESP_g_W54	Do you think Health insurance is something the federal government has a responsibility to provide for all Americans?	['Yes, a responsibility of the federal government to provide for all Americans', 'No, not the responsibility of the federal government to provide', 'Refused']
19	GOVRESP_h_W54	Do you think access to high-speed internet is something the federal government has a responsibility to provide for all Americans?	['Yes, a responsibility of the federal government to provide for all Americans', 'No, not the responsibility of the federal government to provide', 'Refused']
